1387  2520
1125 1105 1106
1144 1143 1124
1144 1124 1125
1163 1162 1143
1163 1143 1144
1182 1181 1162
1182 1162 1163
1201 1200 1181
1201 1181 1182
1220 1219 1200
1220 1200 1201
1239 1238 1219
1239 1219 1220
1258 1257 1238
1258 1238 1239
1277 1276 1257
1277 1257 1258
1296 1295 1276
1296 1276 1277
1315 1314 1295
1315 1295 1296
1334 1333 1314
1334 1314 1315
1353 1352 1333
1353 1333 1334
1372 1371 1352
1372 1352 1353
4 5 23
23 5 24
23 24 42
42 24 43
42 43 61
61 43 62
61 62 80
80 62 81
80 81 99
99 81 100
99 100 118
118 100 119
118 119 137
137 119 138
137 138 156
156 138 157
156 157 175
175 157 176
175 176 194
194 176 195
194 195 213
213 195 214
213 214 232
232 214 233
232 233 251
251 233 252
251 252 270
270 252 271
270 271 289
289 271 290
289 290 308
308 290 309
308 309 327
327 309 328
327 328 346
346 328 347
346 347 365
365 347 366
365 366 384
384 366 385
384 385 403
403 385 404
403 404 422
422 404 423
422 423 441
441 423 442
441 442 460
460 442 461
460 461 479
479 461 480
479 480 498
498 480 499
498 499 517
517 499 518
517 518 536
536 518 537
536 537 555
555 537 556
555 556 574
574 556 575
574 575 593
593 575 594
593 594 612
612 594 613
612 613 631
631 613 632
631 632 650
650 632 651
650 651 669
669 651 670
669 670 688
688 670 689
708 707 688
708 688 689
727 726 707
727 707 708
746 745 726
746 726 727
765 764 745
765 745 746
784 783 764
784 764 765
803 802 783
803 783 784
822 821 802
822 802 803
841 840 821
841 821 822
860 859 840
860 840 841
879 878 859
879 859 860
898 897 878
898 878 879
917 916 897
917 897 898
936 935 916
936 916 917
955 954 935
955 935 936
974 973 954
974 954 955
993 992 973
993 973 974
1012 1011 992
1012 992 993
1031 1030 1011
1031 1011 1012
1050 1049 1030
1050 1030 1031
1069 1068 1049
1069 1049 1050
1088 1087 1068
1088 1068 1069
1107 1106 1087
1107 1087 1088
1126 1125 1106
1126 1106 1107
1145 1144 1125
1145 1125 1126
1164 1163 1144
1164 1144 1145
1183 1182 1163
1183 1163 1164
1202 1201 1182
1202 1182 1183
1221 1220 1201
1221 1201 1202
1240 1239 1220
1240 1220 1221
1259 1258 1239
1259 1239 1240
1278 1277 1258
1278 1258 1259
1297 1296 1277
1297 1277 1278
1316 1315 1296
1316 1296 1297
1335 1334 1315
1335 1315 1316
1354 1353 1334
1354 1334 1335
1373 1372 1353
1373 1353 1354
5 6 24
24 6 25
24 25 43
43 25 44
43 44 62
62 44 63
62 63 81
81 63 82
81 82 100
100 82 101
100 101 119
119 101 120
119 120 138
138 120 139
138 139 157
157 139 158
157 158 176
176 158 177
176 177 195
195 177 196
195 196 214
214 196 215
214 215 233
233 215 234
233 234 252
252 234 253
252 253 271
271 253 272
271 272 290
290 272 291
290 291 309
309 291 310
309 310 328
328 310 329
328 329 347
347 329 348
347 348 366
366 348 367
366 367 385
385 367 386
385 386 404
404 386 405
404 405 423
423 405 424
423 424 442
442 424 443
442 443 461
461 443 462
461 462 480
480 462 481
480 481 499
499 481 500
499 500 518
518 500 519
518 519 537
537 519 538
537 538 556
556 538 557
556 557 575
575 557 576
575 576 594
594 576 595
594 595 613
613 595 614
613 614 632
632 614 633
632 633 651
651 633 652
651 652 670
670 652 671
670 671 689
689 671 690
709 708 689
709 689 690
728 727 708
728 708 709
747 746 727
747 727 728
766 765 746
766 746 747
785 784 765
785 765 766
804 803 784
804 784 785
823 822 803
823 803 804
842 841 822
842 822 823
861 860 841
861 841 842
880 879 860
880 860 861
899 898 879
899 879 880
918 917 898
918 898 899
937 936 917
937 917 918
956 955 936
956 936 937
975 974 955
975 955 956
994 993 974
994 974 975
1013 1012 993
1013 993 994
1032 1031 1012
1032 1012 1013
1051 1050 1031
1051 1031 1032
1070 1069 1050
1070 1050 1051
1089 1088 1069
1089 1069 1070
1108 1107 1088
1108 1088 1089
1127 1126 1107
1127 1107 1108
1146 1145 1126
1146 1126 1127
1165 1164 1145
1165 1145 1146
1184 1183 1164
1184 1164 1165
1203 1202 1183
1203 1183 1184
1222 1221 1202
1222 1202 1203
1241 1240 1221
1241 1221 1222
1260 1259 1240
1260 1240 1241
1279 1278 1259
1279 1259 1260
1298 1297 1278
1298 1278 1279
1317 1316 1297
1317 1297 1298
1336 1335 1316
1336 1316 1317
1355 1354 1335
1355 1335 1336
1374 1373 1354
1374 1354 1355
